Country,Net energy imports(% of energy use) year 1990,Net energy imports(% of energy use) year 2015,GDP per unit of energy use(2017 PPP $ per kilogram of oil equivalent) year 1990,GDP per unit of energy use(2017 PPP $ per kilogram of oil equivalent) year 1990,Carbon dioxide emissions (1000 metric tons) year 2015,Carbon dioxide emissions (1000 metric tons) year 2020,Carbon intensity kilograms per kilograms of oil equivalent energy use year 1990,Carbon intensity kilograms per kilograms of oil equivalent energy use year 2014,Per capita metric tons year 2015,Per capita metric tons year 2020
Tanzania,6.87752756602212,10.728060251596,3.50407862949795,4.46163063513176,10765.9,14435.5,0.19418118111063,0.43166861058478,0.20489763178503,0.233945592120175
Thailand,36.6399383251907,41.5681517414252,9.57659650672975,8.05186500198471,268853.3,265478.9,2.11139330572453,1.91946959057705,3.82467609758428,3.71425580600412
Timor-Leste,..,..,..,..,437.2,446.1,..,..,0.36257695015728,0.343155165981408
Togo,16.5453120547164,19.9716229474876,5.52384786575999,4.09959760112459,1825.6,2415.1,0.76786675532757,0.48163443098527,0.24428530157446,0.286061843654428
Tonga,..,..,14.122183396879,..,109.9,118.1,3.15637087420899,..,1.03560053523303,1.12204761814278
Trinidad and Tobago,-110.932023319957,-102.662737330464,2.0859943878447,2.29078100469298,21310.6,15420,2.35664783463982,1.12019503658546,14.5945320327604,10.1571191722541
Tunisia,-15.7840253312558,36.1958714161136,9.65709043056545,11.7025706631886,31627.4,29293,2.7795005065766,2.74167488471747,2.73646000671928,2.4086225282388
Turkiye,51.0317226500734,75.2078800411834,12.9180147500775,15.7195397937889,353413.8,407406.2,2.64087794908075,2.80267379555949,4.51829036460809,4.8858639260833
Turkmenistan,-316.755862085343,-191.511336767881,1.51584564767839,2.53838563619257,63777.6,63655,2.54887547210568,2.59785587354315,11.0601514177487,10.1840862992321
Turks and Caicos Islands,..,..,..,..,..,..,..,..,..,..
Tuvalu,..,..,..,..,7.7,6.6,..,..,0.707915785602648,0.596259824735748
Uganda,..,..,..,..,4712.1,5674.6,..,..,0.125731921963759,0.127793034826946
Ukraine,46.1185041051421,27.2085082165267,3.38268300857648,5.03963900762244,191067.8,165663.6,2.73242438406759,2.2483241629823,4.23146670654202,3.75381618922792
United Arab Emirates,-439.553111532586,-183.843970434642,10.205422311576,8.06617108098089,195409.4,188088.7,2.71248620561223,2.60863290905919,21.9145018912965,20.2522716801426
United Kingdom,-1.00799998943292,34.6299902675264,8.52304683394821,16.1506866166026,401075.3,308650.3,2.70339540616155,2.31216389603089,6.15937636059612,4.60114225090135
United States,13.7096309133924,7.30874345482277,5.27277046101042,8.58623341723932,4990703.7,4320532.5,2.52995349980777,2.30241440068252,15.5600154435853,13.0328279519898
Uruguay,48.9741034927435,44.433500881591,15.3870184416238,16.3514469147412,6657.2,6514.3,1.71023471083485,1.37914353064987,1.95637850746058,1.89971905049917
Uzbekistan,16.6546627838441,-26.1648584716122,1.60957627741476,4.07273484994278,99358.2,115577.8,2.53988012939004,2.63524774892819,3.17449495030177,3.37630378548758
Vanuatu,..,..,17.9534508237629,..,134.3,121.3,3.00248210906696,..,0.485823222567086,0.389174968317372
"Venezuela, RB",-265.836341857232,-178.774870214286,..,..,163126.9,72509,2.60486133003532,2.72939163884727,5.34321708069607,2.54502797831961
Viet Nam,-2.31505655729138,-15.1058744822691,7.86273600899869,10.9321699261376,201513.3,355323.1,1.03044641726207,2.56359284658977,2.18581455940173,3.67644008813984
Virgin Islands (U.S.),..,..,..,..,..,..,..,..,..,..
West Bank and Gaza,..,..,..,..,..,..,..,..,..,..
"Yemen, Rep.",-273.3503113656,-120.629673976862,..,..,13552.2,9960.1,2.64179349132107,3.18791944278798,0.475239900205302,0.308514614308256
Zambia,9.37376704664111,8.29294290953561,3.23016067644789,5.27104427623165,4956.6,7607.1,0.502815583759717,0.440415062112027,0.305054765965277,0.40190271250386
Zimbabwe,8.04122502692996,15.3090130063545,2.94233045048822,2.80293340557092,11988.7,8312.5,1.77794222279348,1.09517495685755,0.846962441443576,0.530483547000938
World,-2.89053827492091,20.9690424983259,6.06325027551112,8.32710540875019,34070176.85,33566427.59,2.39963380951199,2.48410623013067,4.60168373148077,4.29226919101032
East Asia & Pacific,18.2019441952101,44.7216977261926,5.18923851227154,6.92502222365085,13510201.2,14708135.6,2.44324488915457,2.97164066108569,5.88806270028322,6.22188839531445
Europe & Central Asia,11.5099277878075,42.6632868872852,6.36989640574249,10.4866167350251,6073951.401794,5641772.700492,2.5220597514131,2.17782809053593,6.69899848067837,6.11671504065256
Latin America & Caribbean,-34.7382085945246,6.61181593249357,10.8539176355969,11.7949223469568,1750693.94,1438080.03,1.92117949127198,1.9903590990489,2.81738301695433,2.21061135980164
Middle East & North Africa,-289.894173073879,64.9673633255356,9.61628061495318,7.43747751516544,2453243.85,2416064.9,2.80143049534223,2.6445776535079,5.56914370245815,5.03381829765426
North America,9.28332691008825,-1.55256281838464,5.19894530525209,8.3244018161612,5549450.9,4837406.2,2.47567066330998,2.2693346892054,15.566170471554,13.0888374603574
South Asia,10.0803882870295,32.692107819325,5.95787634406912,8.76198409966999,2434198.49,2518434.77,1.71722981941179,2.44645986289712,1.37095834981794,1.33779148421422
Sub-Saharan Africa,-52.6368114682322,-48.8031355973392,4.97309556777874,6.41912750327942,770629.632,760868.113,1.40402992683355,1.44902748479467,0.763983889704225,0.660876172775718
Low income,-10.4932377247064,-10.9927371327795,..,..,144653.01,179664.936,1.68335742733228,0.754403711448565,0.24847082060284,0.269341050173669
Lower middle income,-18.9457206821627,-11.6187665879293,5.62924915116541,8.38022191441051,4515567.19,4819595.8,1.97995211297538,2.24794200019814,1.55554812530617,1.54611702210388
Upper middle income,-23.7436728917974,28.0081754041453,4.56486856897091,6.82754599335574,15348154.712,16383995.507,2.43449867006028,2.856341008054,5.73585945382132,5.92395987436352
High income,15.2185671539091,20.5183790347404,7.0762525418963,10.2272574885471,12370867.601794,10864997.070492,2.49635383004674,2.25903833678922,10.2032471484176,8.74996511125994
Most Recent Value (MRV) if data for the specified year or full period are not available; or growth rate is calculated for less than the full period.,,,,,,,,,,
,,,,,,,,,,
"3.8 Energy dependency, efficiency and carbon dioxide emissions",,,,,,,,,,
"World Development Indicators , THE WORLD BANKLast updated date 12/18/2023",,,,,,,,,,
,,,,,,,,,,
About the Data,,,,,,,,,,
,,,,,,,,,,
"Energy imports, net (% of energy use)",,,,,,,,,,
,,,,,,,,,,
Long definition,,,,,,,,,,
,,,,,,,,,,
"Net energy imports are estimated as energy use less production, both measured in oil equivalents. A negative value indicates that the country is a net exporter. Energy use refers to use of primary energy before transformation to other end-use fuels, which is equal to indigenous production plus imports and stock changes, minus exports and fuels supplied to ships and aircraft engaged in international transport.",,,,,,,,,,
,,,,,,,,,,
Source,,,,,,,,,,
,,,,,,,,,,
"IEA Statistics ? OECD/IEA 2014 (https://www.iea.org/data-and-statistics), subject to https://www.iea.org/terms/",,,,,,,,,,
,,,,,,,,,,
General comments,,,,,,,,,,
,,,,,,,,,,
Restricted use: Please contact the International Energy Agency for third-party use of these data.,,,,,,,,,,
,,,,,,,,,,
GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),,,,,,,,,,
,,,,,,,,,,
Long definition,,,,,,,,,,
,,,,,,,,,,
GDP per unit of energy use is the PPP GDP per kilogram of oil equivalent of energy use. PPP GDP is gross domestic product converted to 2017 constant international dollars using purchasing power parity rates. An international dollar has the same purchasing power over GDP as a U.S. dollar has in the United States.,,,,,,,,,,
,,,,,,,,,,
Source,,,,,,,,,,
,,,,,,,,,,
"IEA Statistics ? OECD/IEA 2014 (https://www.iea.org/data-and-statistics), subject to https://www.iea.org/terms/",,,,,,,,,,
,,,,,,,,,,
General comments,,,,,,,,,,
,,,,,,,,,,
Restricted use: Please contact the International Energy Agency for third-party use of these data.,,,,,,,,,,
,,,,,,,,,,
CO2 emissions (kt),,,,,,,,,,
,,,,,,,,,,
Long definition,,,,,,,,,,
,,,,,,,,,,
"Carbon dioxide emissions are those stemming from the burning of fossil fuels and the manufacture of cement. They include carbon dioxide produced during consumption of solid, liquid, and gas fuels and gas flaring.",,,,,,,,,,
,,,,,,,,,,
Source,,,,,,,,,,
,,,,,,,,,,
"Climate Watch Historical GHG Emissions (1990-2020). 2023. Washington, DC: World Resources Institute. Available online at:?https://www.climatewatchdata.org/ghg-emissions",,,,,,,,,,
,,,,,,,,,,
CO2 intensity (kg per kg of oil equivalent energy use),,,,,,,,,,
,,,,,,,,,,
Long definition,,,,,,,,,,
,,,,,,,,,,
Carbon dioxide emissions from solid fuel consumption refer mainly to emissions from use of coal as an energy source.,,,,,,,,,,
,,,,,,,,,,
Source,,,,,,,,,,
,,,,,,,,,,
"Carbon Dioxide Information Analysis Center, Environmental Sciences Division, Oak Ridge National Laboratory, Tennessee, United States.",,,,,,,,,,
,,,,,,,,,,
CO2 emissions (metric tons per capita),,,,,,,,,,
,,,,,,,,,,
Long definition,,,,,,,,,,
,,,,,,,,,,
"Carbon dioxide emissions are those stemming from the burning of fossil fuels and the manufacture of cement. They include carbon dioxide produced during consumption of solid, liquid, and gas fuels and gas flaring.",,,,,,,,,,
,,,,,,,,,,
Source,,,,,,,,,,
,,,,,,,,,,
"Emissions data are sourced from Climate Watch Historical GHG Emissions (1990-2020). 2023. Washington, DC: World Resources Institute. Available online at:?https://www.climatewatchdata.org/ghg-emissions",,,,,,,,,,
,,,,,,,,,,
CO2 emissions (kg per 2017 PPP $ of GDP),,,,,,,,,,
,,,,,,,,,,
Long definition,,,,,,,,,,
,,,,,,,,,,
"Carbon dioxide emissions are those stemming from the burning of fossil fuels and the manufacture of cement. They include carbon dioxide produced during consumption of solid, liquid, and gas fuels and gas flaring.",,,,,,,,,,
,,,,,,,,,,
Source,,,,,,,,,,
,,,,,,,,,,
"Climate Watch. 2020. GHG Emissions. Washington, DC: World Resources Institute. Available at:?https://www.climatewatchdata.org/ghg-emissions. See NY.GDP.MKTP.PP.KD for the denominator's source.",,,,,,,,,,
,,,,,,,,,,
"Please see the online table at http://wdi.worldbank.org/table/3.8 for observation-level metadata, which can be downloaded in Excel.",,,,,,,,,,
